User1,User2,NumClustersUser1,GoodnessOfClusteringUser1,NumClustersUser2,GoodnessOfClusteringUser2,NumClustersCombined,GoodnessOfClusteringCombined,SimilarityScore
0,1,4,0.7668021578607366,1,0.0,4,0.7665773405781933,0.25
0,2,4,0.7668021578607366,10,0.8470513471036494,11,0.9516385516273882,0.09090909090909091
0,3,4,0.7668021578607366,39,0.8347318907080538,39,0.8276147307405035,0.07692307692307693
0,4,4,0.7668021578607366,14,0.8446965546403395,14,0.9640710813309469,0.14285714285714285
0,5,4,0.7668021578607366,4,0.9022613944776743,5,0.9850453420544591,0.2
0,6,4,0.7668021578607366,6,0.8728271128226047,7,0.8363771929224532,0.14285714285714285
0,7,4,0.7668021578607366,5,0.8431777823829427,6,0.8792683512987082,0.16666666666666666
0,8,4,0.7668021578607366,2,0.999787531855549,5,0.7631644336566529,0.2
0,9,4,0.7668021578607366,1,0.0,3,0.9878673828959736,0.3333333333333333
0,10,4,0.7668021578607366,312,0.4749598475308204,312,0.5610743984596368,0.00641025641025641
0,11,4,0.7668021578607366,3,0.8572417854160845,4,0.9883707315816246,0.25
0,12,4,0.7668021578607366,50,0.8850349814119144,50,0.7815252396172672,0.04
0,13,4,0.7668021578607366,7,0.912655234974184,9,0.5777018390081944,0.1111111111111111
0,14,4,0.7668021578607366,3,0.7800478286973942,5,0.8034969371110835,0.2
0,15,4,0.7668021578607366,2,0.9995296053122266,4,0.9879995828189369,0.25
0,16,4,0.7668021578607366,2,0.9994420932582985,4,0.9869992938710828,0.25
0,17,4,0.7668021578607366,9,0.7981650282154593,11,0.7897556289268162,0.09090909090909091
0,18,4,0.7668021578607366,9,0.7550408741525914,11,0.6705492050650825,0.09090909090909091
0,19,4,0.7668021578607366,4,0.8906732495037422,6,0.6316574805129237,0.16666666666666666
0,20,4,0.7668021578607366,2,0.9468289919364956,5,0.7837061184872988,0.2
0,21,4,0.7668021578607366,16,0.8640042715941939,18,0.857867825804823,0.05555555555555555
0,22,4,0.7668021578607366,3,0.8753120924378571,5,0.8661474535677088,0.2
0,23,4,0.7668021578607366,35,0.9514894276934073,37,0.9585096606978761,0.02702702702702703
